Module                  Size  Used by
mymodule               16384  1
rfcomm                 81920  4
cmac                   16384  3
algif_hash             16384  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   28672  2
openvswitch           172032  0
nsh                    16384  1 openvswitch
nf_conncount           24576  1 openvswitch
nf_nat                 49152  1 openvswitch
nf_conntrack          172032  3 nf_nat,openvswitch,nf_conncount
nf_defrag_ipv6         24576  2 nf_conntrack,openvswitch
nf_defrag_ipv4         16384  1 nf_conntrack
libcrc32c              16384  3 nf_conntrack,nf_nat,openvswitch
nls_iso8859_1          16384  1
snd_sof_pci_intel_cnl    16384  0
snd_sof_intel_hda_common   102400  1 snd_sof_pci_intel_cnl
soundwire_intel        45056  1 snd_sof_intel_hda_common
soundwire_generic_allocation    16384  1 soundwire_intel
soundwire_cadence      36864  1 soundwire_intel
snd_sof_intel_hda      20480  1 snd_sof_intel_hda_common
snd_sof_pci            20480  2 snd_sof_intel_hda_common,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
snd_sof               139264  2 snd_sof_pci,snd_sof_intel_hda_common
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_hda_ext_core       32768  3 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
snd_soc_acpi_intel_match    61440  2 snd_sof_intel_hda_common,snd_sof_pci_intel_cnl
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
soundwire_bus          94208  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
snd_hda_codec_hdmi     77824  1
snd_ctl_led            24576  0
snd_hda_codec_realtek   155648  1
snd_soc_core          335872  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
snd_compress           24576  1 snd_soc_core
ac97_bus               16384  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_hda_codec_generic   102400  1 snd_hda_codec_realtek
uvcvideo              106496  0
snd_hda_intel          53248  3
videobuf2_vmalloc      20480  1 uvcvideo
videobuf2_memops       20480  1 videobuf2_vmalloc
snd_intel_dspcfg       28672  2 snd_hda_intel,snd_sof_intel_hda_common
binfmt_misc            24576  1
r8153_ecm              16384  0
cdc_ether              24576  1 r8153_ecm
snd_intel_sdw_acpi     20480  2 snd_sof_intel_hda_common,snd_intel_dspcfg
usbnet                 53248  2 r8153_ecm,cdc_ether
iwlmvm                565248  0
snd_hda_codec         163840  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda
videobuf2_v4l2         32768  1 uvcvideo
thinkpad_acpi         131072  0
videobuf2_common       77824  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
coretemp               24576  0
intel_rapl_msr         20480  0
nvram                  16384  1 thinkpad_acpi
snd_hda_core          110592  9 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
snd_hwdep              16384  1 snd_hda_codec
kvm_intel             380928  0
videodev              253952  3 videobuf2_v4l2,uvcvideo,videobuf2_common
mac80211             1249280  1 iwlmvm
r8152                 114688  1 r8153_ecm
mc                     61440  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_pcm               135168  10 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_hda_core,snd_pcm_dmaengine
kvm                  1015808  1 kvm_intel
ledtrig_audio          16384  4 snd_ctl_led,snd_hda_codec_generic,snd_sof,thinkpad_acpi
mei_hdcp               24576  0
mii                    20480  2 usbnet,r8152
snd_seq_midi           20480  0
libarc4                16384  1 mac80211
snd_seq_midi_event     16384  1 snd_seq_midi
crct10dif_pclmul       16384  1
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
i915                 3067904  9
snd_rawmidi            49152  1 snd_seq_midi
snd_seq                77824  2 snd_seq_midi,snd_seq_midi_event
iwlwifi               446464  1 iwlmvm
btusb                  61440  0
processor_thermal_device_pci_legacy    16384  0
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
processor_thermal_rfim    24576  1 processor_thermal_device
processor_thermal_mbox    16384  2 processor_thermal_rfim,processor_thermal_device
processor_thermal_rapl    20480  1 processor_thermal_device
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
btrtl                  24576  1 btusb
btbcm                  24576  1 btusb
btintel                40960  1 btusb
snd_timer              40960  2 snd_seq,snd_pcm
bluetooth             696320  31 btrtl,btintel,btbcm,bnep,btusb,rfcomm
cfg80211              970752  3 iwlmvm,iwlwifi,mac80211
ttm                    86016  1 i915
ucsi_acpi              16384  0
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
joydev                 32768  0
ecdh_generic           16384  2 bluetooth
ecc                    36864  1 ecdh_generic
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
input_leds             16384  0
aesni_intel           376832  4
drm_kms_helper        311296  1 i915
typec_ucsi             45056  1 ucsi_acpi
typec                  69632  1 typec_ucsi
mei_me                 40960  1
cec                    61440  2 drm_kms_helper,i915
snd                   106496  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_compress,thinkpad_acpi,snd_soc_core,snd_pcm,snd_rawmidi
mei                   135168  3 mei_hdcp,mei_me
rc_core                61440  1 cec
i2c_algo_bit           16384  1 i915
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
rapl                   20480  0
intel_cstate           20480  0
fb_sys_fops            16384  1 drm_kms_helper
syscopyarea            16384  1 drm_kms_helper
sysfillrect            20480  1 drm_kms_helper
serio_raw              20480  0
sysimgblt              16384  1 drm_kms_helper
mac_hid                16384  0
soundcore              16384  2 snd_ctl_led,snd
think_lmi              28672  0
intel_wmi_thunderbolt    20480  0
firmware_attributes_class    16384  1 think_lmi
wmi_bmof               16384  0
int3403_thermal        20480  0
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
int3400_thermal        20480  0
intel_pch_thermal      20480  0
